,names,ratings,cost,dish,deliveryin_min,order
239,Sri Vishnu Grand,3.7,₹100 for one,"South Indian, North Indian, Chinese, Beverages, Street Food",28 min,1275+ orders placed from here recently
240,Khichdi Tales,4.4,₹100 for one,"Healthy Food, North Indian, Beverages, Desserts",27 min,6025+ orders placed from here recently
241,Awesome Foods,3.9,₹100 for one,"Biryani, North Indian",31 min,475+ orders placed from here recently
242,BakesKing,4.4,₹100 for one,Bakery,39 min,1225+ orders placed from here recently
243,Sri Ganesh Juice Junction,3.7,₹50 for one,"Beverages, Juices, Fast Food, Shake",43 min,1175+ orders placed from here recently
244,Paratha Plaza,4.3,₹50 for one,North Indian,38 min,1125+ orders placed from here recently
245,Nomad Pizza - Traveller Series,4.0,₹50 for one,"Pizza, Italian",31 min,1400+ orders placed from here recently
246,The New Arsalan,3.9,₹50 for one,"Bengali, Biryani",37 min,1600+ orders placed from here recently
247,Khai Khai,3.9,₹150 for one,"Bengali, North Indian, Biryani, Rolls, Continental, Street Food, Beverages",20 min,2025+ orders placed from here recently
248,Mafuq Biryani,3.7,₹150 for one,"Biryani, North Indian, Desserts",34 min,1025+ orders placed from here recently
249,The Chaat Cult,3.3,₹150 for one,"Street Food, North Indian, Desserts",53 min,125+ orders placed from here recently
250,Juice Junction Food Court,3.7,₹150 for one,"Beverages, Juices, Fast Food, Shake",18 min,950+ orders placed from here recently
251,The Salad Studio,4.3,₹250 for one,"Salad, Healthy Food, Sandwich, Juices",38 min,1625+ orders placed from here recently
252,Copper Chimney,3.8,₹250 for one,"Mughlai, Kebab, North Indian, Biryani",34 min,450+ orders placed from here recently
253,New York Waffles & Dinges,3.7,₹250 for one,"Waffle, Bakery, Ice Cream, Desserts, Beverages",41 min,400+ orders placed from here recently
254,Puneri Katta,4.2,₹250 for one,"Maharashtrian, Street Food",37 min,4950+ orders placed from here recently
255,Tadka Punjab Da,3.6,₹200 for one,"North Indian, Chinese",44 min,350+ orders placed from here recently
256,Mamaji Pav Bhaji,3.4,₹200 for one,Street Food,20 min,325+ orders placed from here recently
257,Tamilian Lunch House - Since 1973,4.0,₹200 for one,"Tamil, South Indian",28 min,2575+ orders placed from here recently
258,Khichdi Kahani,3.4,₹200 for one,North Indian,19 min,725+ orders placed from here recently
259,Cold Stone Creamery,4.4,₹200 for one,"Ice Cream, Desserts, Waffle, Shake, Beverages",32 min,850+ orders placed from here recently
260,Magic Chef Restaurant,3.6,₹200 for one,"Rolls, Chinese, Sichuan, Biryani, North Indian, Salad, Beverages",40 min,525+ orders placed from here recently
261,Cake Factory,3.5,₹200 for one,"Bakery, Desserts",25 min,500+ orders placed from here recently
262,Sri Shiva Shakthi Veg,3.9,₹200 for one,"South Indian, North Indian, Chinese",35 min,1100+ orders placed from here recently
263,Basaveshwara Khanavali,4.3,₹100 for one,South Indian,18 min,1425+ orders placed from here recently
264,Combo Plate,3.6,₹100 for one,"Chinese, Fast Food, Biryani, Seafood, Sichuan",36 min,175+ orders placed from here recently
265,Darjeeling Hot Momos,4.1,₹100 for one,Momos,37 min,2250+ orders placed from here recently
266,Bhojohori Manna,3.9,₹100 for one,"Bengali, Desserts",40 min,1775+ orders placed from here recently
267,Burgers@79,3.1,₹100 for one,"Fast Food, Burger",36 min,250+ orders placed from here recently
268,Baba Ganoush Cafe,3.6,₹100 for one,"Fast Food, Lebanese, Beverages",37 min,175+ orders placed from here recently
269,Havmor Ice Cream,4.0,₹100 for one,"Desserts, Ice Cream, Beverages",37 min,225+ orders placed from here recently
270,Thanco's Natural Ice Cream,3.7,₹100 for one,"Ice Cream, Beverages, Desserts",28 min,100+ orders placed from here recently
271,Indus Family Restaurant,4.0,₹200 for one,"North Indian, Biryani, Chinese",29 min,275+ orders placed from here recently
272,Maa Ki Thali By Sinha's,4.1,₹200 for one,"North Indian, Bihari",42 min,2175+ orders placed from here recently
273,Udupi Swadishta Veg,4.1,₹200 for one,"South Indian, North Indian, Chinese, Street Food, Beverages, Juices",37 min,675+ orders placed from here recently
274,Cake Concepts,3.9,₹200 for one,"Desserts, Bakery",51 min,675+ orders placed from here recently
275,Burma Burma,4.2,₹500 for one,"Salad, Healthy Food, Asian, Chinese, Burmese, Bubble Tea, Beverages",53 min,1500+ orders placed from here recently
276,Golden Sidra Hotel,4.0,₹500 for one,"Kebab, Mughlai, North Indian, Chinese, Biryani, Beverages",23 min,625+ orders placed from here recently
277,Aunty's Foods,4.3,₹500 for one,South Indian,51 min,1225+ orders placed from here recently
278,SLV Mulbagal Dosa,3.4,₹500 for one,South Indian,38 min,650+ orders placed from here recently
279,Fresh Cane Juice,4.3,₹50 for one,"Juices, Beverages",14 min,2425+ orders placed from here recently
280,Karnataka Donne Biriyani,4.0,₹50 for one,"Biryani, South Indian",46 min,125+ orders placed from here recently
281,Tibb's Frankie - Serving Rolls Since 1969,3.9,₹50 for one,Rolls,37 min,850+ orders placed from here recently
282,Big Wong,4.1,₹50 for one,"Chinese, Asian, Momos, Sushi, Rolls, Thai, Seafood, Beverages",41 min,1350+ orders placed from here recently
283,Coorg Pork Joint,3.7,₹300 for one,"Mangalorean, North Indian, Chinese, Street Food, Beverages",18 min,650+ orders placed from here recently
284,Dal Roti,3.9,₹300 for one,North Indian,35 min,50+ orders placed from here recently
285,Andhra Mess,3.6,₹300 for one,"Andhra, Biryani, Chinese, Seafood",51 min,225+ orders placed from here recently
286,Atthemane's Biriyani Palace,3.8,₹300 for one,"North Indian, Mughlai, Chinese, Andhra, Hyderabadi, Seafood",22 min,725+ orders placed from here recently
287,Tasty Shawarma Rolls,3.5,₹150 for one,"Lebanese, Chinese, Sichuan",38 min,1325+ orders placed from here recently
288,Food Adda,3.5,₹150 for one,"Fast Food, Sandwich, Pizza, Burger, Beverages",42 min,300+ orders placed from here recently
289,Chavadi,3.9,₹150 for one,"Continental, Mangalorean, Italian, South Indian, North Indian, Seafood, Beverages, Desserts",49 min,925+ orders placed from here recently
290,Nizza Pizza,3.9,₹150 for one,Pizza,31 min,550+ orders placed from here recently
291,Drunken Monkey,3.3,₹250 for one,Beverages,31 min,400+ orders placed from here recently
292,Delite Chaat House,3.8,₹250 for one,"Street Food, Gujarati, Shake",27 min,1800+ orders placed from here recently
293,Homely Hut,3.9,₹250 for one,"Healthy Food, North Indian",18 min,1925+ orders placed from here recently
294,Gorbandh Sweets & Snacks,3.9,₹250 for one,"Street Food, North Indian, Mithai",29 min,2475+ orders placed from here recently
295,Gudbud,4.1,₹150 for one,"Ice Cream, Shake, Beverages",29 min,2000+ orders placed from here recently
